,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
733,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Very High,Very High,Lvl 2,Manufacturing Director,Very High,32,1066,5472,3334,1,No,12,Excellent,Medium,80,Lvl 0,0-10 years,2 years,Better,0-10 years,7 years,1 years,3 years
734,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Medium,Low,Lvl 1,Laboratory Technician,Low,94,217,2451,6881,1,No,15,Excellent,Low,80,Lvl 1,0-10 years,3 years,Good,0-10 years,3 years,1 years,1 years
735,40-49,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,Medium,Lvl 2,Healthcare Representative,High,97,277,4240,13119,2,No,13,Excellent,Very High,80,Lvl 0,11-20 years,0 year,Better,0-10 years,2 years,2 years,2 years
736,40-49,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,Medium,Lvl 3,Healthcare Representative,High,78,1355,10999,22245,7,No,14,Excellent,Medium,80,Lvl 0,21-29 years,3 years,Better,11-20 years,11 years,4 years,8 years
737,40-49,Female,Single,No,Travel Rarely,Very Close,Research & Development,College,Medical,Very High,High,Lvl 2,Manufacturing Director,High,42,549,5003,23371,6,No,14,Excellent,Medium,80,Lvl 0,0-10 years,6 years,Better,0-10 years,2 years,2 years,1 years
738,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Very High,Medium,Lvl 4,Manufacturing Director,Very High,65,466,12742,7060,1,No,16,Excellent,High,80,Lvl 1,21-29 years,3 years,Better,21-29 years,6 years,11 years,8 years
739,20-29,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Low,High,Lvl 2,Manufacturing Director,Very High,47,1055,4227,4658,0,No,18,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
740,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Other,Medium,High,Lvl 1,Laboratory Technician,Very High,45,802,3917,9541,1,No,20,Outstanding,Low,80,Lvl 1,0-10 years,4 years,Good,0-10 years,2 years,1 years,2 years
741,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,College,Marketing,Very High,High,Lvl 5,Manager,High,90,265,18303,7770,6,No,13,Excellent,Medium,80,Lvl 0,21-29 years,3 years,Best,0-10 years,0 year,0 year,0 year
742,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Laboratory Technician,Very High,64,804,2380,20165,4,No,18,Excellent,Medium,80,Lvl 0,0-10 years,5 years,Better,0-10 years,0 year,0 year,0 year
743,50-59,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 4,Manufacturing Director,Very High,69,715,13726,21829,3,Yes,13,Excellent,Low,80,Lvl 0,31-40 years,4 years,Better,0-10 years,3 years,4 years,3 years
744,30-39,Female,Married,Yes,Travel Rarely,Close,Research & Development,College,Medical,Low,Low,Lvl 2,Healthcare Representative,Medium,61,1141,4777,14382,5,No,15,Excellent,Low,80,Lvl 0,11-20 years,2 years,Bad,0-10 years,0 year,0 year,0 year
745,50-59,Male,Married,No,Travel Frequently,Close,Research & Development,Master,Medical,High,High,Lvl 2,Healthcare Representative,Medium,62,135,6385,12992,3,Yes,14,Excellent,Very High,80,Lvl 2,11-20 years,3 years,Better,0-10 years,7 years,6 years,7 years
746,40-49,Female,Divorced,No,Non Travel,Very Close,Research & Development,Below College,Life Sciences,Medium,Low,Lvl 5,Research Director,High,55,247,19973,20284,1,No,22,Outstanding,Medium,80,Lvl 2,21-29 years,3 years,Better,21-29 years,16 years,5 years,10 years
747,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,Medium,High,Lvl 2,Sales Executive,Very High,42,1035,6861,4981,8,Yes,12,Excellent,High,80,Lvl 0,11-20 years,1 years,Better,0-10 years,0 year,0 year,0 year
748,20-29,Male,Single,Yes,Non Travel,Far,Sales,College,Medical,Medium,Low,Lvl 2,Sales Executive,Low,79,265,4969,21813,8,No,18,Excellent,Very High,80,Lvl 0,0-10 years,6 years,Better,0-10 years,2 years,2 years,2 years
749,50-59,Female,Married,Yes,Travel Rarely,Very Close,Sales,Below College,Marketing,Low,Low,Lvl 5,Manager,Very High,57,266,19845,25846,1,No,15,Excellent,Very High,80,Lvl 1,31-40 years,3 years,Better,31-40 years,14 years,6 years,9 years
750,40-49,Female,Married,No,Travel Rarely,Far,Sales,Bachelor,Medical,Very High,Very High,Lvl 4,Sales Executive,Very High,53,1448,13320,11737,3,Yes,18,Excellent,High,80,Lvl 1,21-29 years,2 years,Better,11-20 years,11 years,11 years,11 years
751,50-59,Female,Married,No,Non Travel,Very Close,Sales,Bachelor,Life Sciences,Very High,High,Lvl 2,Sales Executive,High,95,145,6347,24920,0,No,12,Excellent,Low,80,Lvl 1,11-20 years,3 years,Better,11-20 years,7 years,0 year,13 years
752,30-39,Female,Single,Yes,Travel Rarely,Close,Research & Development,Master,Life Sciences,High,Very High,Lvl 1,Laboratory Technician,Low,43,885,2743,8269,1,No,16,Excellent,High,80,Lvl 0,11-20 years,1 years,Better,11-20 years,13 years,15 years,14 years
753,30-39,Female,Single,No,Travel Frequently,Far,Research & Development,Bachelor,Medical,Very High,High,Lvl 3,Manufacturing Director,Low,82,945,10880,5083,1,Yes,13,Excellent,High,80,Lvl 0,21-29 years,2 years,Better,21-29 years,6 years,2 years,8 years
754,30-39,Female,Single,No,Non Travel,Very Close,Sales,Below College,Life Sciences,Medium,Medium,Lvl 1,Sales Representative,Very High,88,1038,2342,21437,0,No,19,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,2 years,2 years,2 years
755,40-49,Female,Married,No,Travel Rarely,Close,Sales,College,Life Sciences,Very High,High,Lvl 4,Manager,Very High,90,1234,17650,5404,3,No,13,Excellent,Medium,80,Lvl 1,21-29 years,4 years,Best,0-10 years,3 years,1 years,1 years
756,30-39,Female,Single,No,Non Travel,Far,Research & Development,Master,Medical,Very High,High,Lvl 1,Laboratory Technician,High,69,1109,4025,11135,9,No,12,Excellent,Medium,80,Lvl 0,11-20 years,2 years,Better,0-10 years,7 years,7 years,7 years
757,30-39,Male,Divorced,No,Travel Rarely,Very Close,Sales,Master,Marketing,Medium,Very High,Lvl 2,Sales Executive,Very High,75,216,9725,12278,0,No,11,Excellent,Very High,80,Lvl 1,11-20 years,2 years,Good,11-20 years,1 years,0 year,9 years
758,50-59,Male,Married,No,Travel Rarely,Very Close,Sales,College,Technical Degree,Medium,High,Lvl 3,Manager,Very High,66,1089,11904,11038,3,Yes,14,Excellent,High,80,Lvl 1,11-20 years,1 years,Bad,0-10 years,4 years,0 year,4 years
759,40-49,Male,Single,No,Travel Rarely,Far,Human Resources,Master,Medical,Medium,High,Lvl 1,Human Resources,Medium,36,788,2177,8318,1,No,16,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,3 years,0 year,4 years
760,50-59,Female,Married,No,Travel Frequently,Very Close,Sales,Bachelor,Marketing,High,Medium,Lvl 3,Sales Executive,Medium,38,124,7525,23537,2,No,12,Excellent,Low,80,Lvl 1,31-40 years,2 years,Better,11-20 years,7 years,6 years,12 years
761,30-39,Male,Divorced,Yes,Travel Rarely,Close,Research & Development,Bachelor,Other,Low,High,Lvl 2,Laboratory Technician,High,81,660,4834,7858,7,No,14,Excellent,Medium,80,Lvl 1,0-10 years,3 years,Good,0-10 years,0 year,0 year,0 year
762,20-29,Male,Married,Yes,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,Low,57,342,2042,15346,6,Yes,14,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,1 years,2 years
763,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,High,High,Lvl 1,Sales Representative,High,87,1333,2220,18410,1,Yes,19,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,1 years,0 year,0 year
764,20-29,Male,Married,No,Travel Rarely,Very Close,Sales,Below College,Medical,Very High,High,Lvl 1,Sales Representative,Medium,74,1144,1052,23384,1,No,22,Outstanding,Medium,80,Lvl 0,0-10 years,5 years,Better,0-10 years,0 year,0 year,0 year
765,30-39,Male,Married,No,Travel Frequently,Very Close,Research & Development,Master,Other,High,High,Lvl 1,Research Scientist,High,44,1186,2821,2997,3,No,16,Excellent,Low,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
766,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Medium,High,Lvl 5,Research Director,High,62,1464,19237,12853,2,Yes,11,Excellent,Very High,80,Lvl 1,21-29 years,2 years,Good,0-10 years,1 years,7 years,7 years
767,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Other,Very High,High,Lvl 2,Healthcare Representative,Medium,35,124,4107,13848,3,No,15,Excellent,Low,80,Lvl 0,0-10 years,3 years,Good,0-10 years,3 years,0 year,1 years
768,40-49,Male,Married,No,Travel Rarely,Far,Sales,Bachelor,Marketing,High,High,Lvl 2,Sales Executive,Low,74,300,8396,22217,1,No,14,Excellent,Medium,80,Lvl 1,0-10 years,3 years,Good,0-10 years,7 years,7 years,5 years
769,20-29,Female,Divorced,No,Travel Frequently,Very Close,Research & Development,Below College,Medical,Low,Medium,Lvl 1,Research Scientist,High,66,921,2007,25265,1,No,13,Excellent,High,80,Lvl 2,0-10 years,5 years,Better,0-10 years,3 years,1 years,3 years
770,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Very High,High,Lvl 5,Research Director,Very High,40,430,19627,21445,9,No,17,Excellent,Very High,80,Lvl 2,21-29 years,0 year,Better,0-10 years,2 years,2 years,2 years
771,50-59,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,High,Medium,Lvl 3,Sales Executive,High,41,1082,10686,8392,6,No,11,Excellent,Medium,80,Lvl 1,11-20 years,4 years,Better,0-10 years,4 years,7 years,0 year
772,50-59,Female,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,Low,High,Lvl 1,Research Scientist,High,63,1240,2942,12154,2,No,19,Excellent,Medium,80,Lvl 1,11-20 years,4 years,Better,0-10 years,4 years,0 year,3 years
773,30-39,Female,Single,No,Travel Rarely,Close,Research & Development,Doctor,Medical,Very High,Medium,Lvl 3,Manufacturing Director,Very High,51,796,8858,15669,0,No,11,Excellent,Medium,80,Lvl 0,11-20 years,2 years,Good,11-20 years,8 years,7 years,8 years
774,50-59,Male,Single,No,Non Travel,Very Close,Research & Development,Below College,Medical,High,Medium,Lvl 4,Manager,Low,40,444,16756,17323,7,No,15,Excellent,Medium,80,Lvl 0,31-40 years,3 years,Best,0-10 years,7 years,6 years,2 years
775,40-49,Male,Divorced,No,Travel Rarely,Far,Sales,Bachelor,Medical,High,Medium,Lvl 3,Sales Executive,Very High,79,415,10798,5268,5,No,13,Excellent,High,80,Lvl 1,11-20 years,5 years,Better,0-10 years,0 year,0 year,0 year
776,20-29,Female,Single,Yes,Travel Frequently,Very Close,Sales,Bachelor,Marketing,Very High,High,Lvl 1,Sales Representative,Very High,54,769,2323,17205,1,Yes,14,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,0 year,2 years
777,20-29,Female,Single,Yes,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 1,Laboratory Technician,Low,36,1334,1416,17258,1,No,13,Excellent,Low,80,Lvl 0,0-10 years,6 years,Good,0-10 years,0 year,1 years,0 year
778,40-49,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,Medium,Lvl 2,Research Scientist,Low,74,1003,4615,21029,8,Yes,23,Outstanding,Low,80,Lvl 3,11-20 years,2 years,Better,11-20 years,13 years,1 years,7 years
779,50-59,Male,Married,Yes,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Low,High,Lvl 1,Research Scientist,High,34,1323,2461,10332,9,Yes,12,Excellent,High,80,Lvl 3,11-20 years,2 years,Best,11-20 years,0 year,2 years,7 years
780,20-29,Male,Single,Yes,Non Travel,Far,Research & Development,College,Technical Degree,Medium,Medium,Lvl 3,Healthcare Representative,Low,72,1366,8722,12355,1,No,12,Excellent,Low,80,Lvl 0,11-20 years,2 years,Good,11-20 years,7 years,1 years,9 years
781,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Low,Medium,Lvl 1,Laboratory Technician,Low,59,192,3955,11141,1,No,16,Excellent,Low,80,Lvl 2,0-10 years,2 years,Better,0-10 years,3 years,1 years,3 years
782,30-39,Male,Married,No,Travel Rarely,Far,Research & Development,Bachelor,Other,High,High,Lvl 2,Manufacturing Director,Low,85,1176,9957,9096,0,No,15,Excellent,High,80,Lvl 1,0-10 years,1 years,Good,0-10 years,2 years,0 year,2 years
783,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Technical Degree,Medium,Very High,Lvl 1,Research Scientist,High,43,509,3376,18863,1,No,13,Excellent,High,80,Lvl 0,11-20 years,3 years,Better,11-20 years,6 years,0 year,8 years
784,30-39,Female,Married,No,Travel Rarely,Close,Research & Development,Below College,Life Sciences,High,Medium,Lvl 3,Healthcare Representative,High,65,330,8823,24608,0,No,18,Excellent,Low,80,Lvl 1,21-29 years,4 years,Good,11-20 years,9 years,1 years,9 years
785,40-49,Male,Married,No,Travel Rarely,Far,Research & Development,Master,Technical Degree,Low,High,Lvl 3,Healthcare Representative,Very High,61,1492,10322,26542,4,No,20,Outstanding,Very High,80,Lvl 1,11-20 years,6 years,Better,11-20 years,10 years,11 years,1 years
786,20-29,Male,Married,No,Non Travel,Very Close,Research & Development,Doctor,Life Sciences,Low,Low,Lvl 1,Laboratory Technician,High,87,1277,4621,5869,1,No,19,Excellent,Very High,80,Lvl 3,0-10 years,4 years,Better,0-10 years,2 years,1 years,2 years
787,50-59,Male,Married,No,Travel Frequently,Very Close,Research & Development,Below College,Life Sciences,Very High,High,Lvl 3,Manufacturing Director,Medium,65,1091,10976,15813,3,No,18,Excellent,Medium,80,Lvl 1,21-29 years,4 years,Better,0-10 years,2 years,1 years,2 years
788,20-29,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Other,High,High,Lvl 2,Research Scientist,High,59,857,3660,7909,3,No,13,Excellent,Very High,80,Lvl 0,11-20 years,4 years,Best,0-10 years,7 years,1 years,7 years
789,40-49,Male,Married,Yes,Travel Rarely,Very Close,Human Resources,College,Medical,Medium,Medium,Lvl 3,Human Resources,Low,91,1376,10482,2326,9,No,14,Excellent,Very High,80,Lvl 1,21-29 years,1 years,Better,21-29 years,6 years,3 years,6 years
790,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 3,Healthcare Representative,Very High,34,654,7119,21214,4,No,15,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,1 years,2 years
791,30-39,Male,Single,Yes,Travel Rarely,Very Close,Sales,Bachelor,Technical Degree,Very High,High,Lvl 3,Sales Executive,Low,86,1204,9582,10333,0,Yes,22,Outstanding,Low,80,Lvl 0,0-10 years,2 years,Better,0-10 years,7 years,4 years,7 years
792,30-39,Female,Single,Yes,Travel Frequently,Far,Research & Development,Master,Medical,Low,Medium,Lvl 2,Research Scientist,High,54,827,4508,3129,1,No,22,Outstanding,Medium,80,Lvl 0,11-20 years,4 years,Better,11-20 years,7 years,3 years,8 years
793,20-29,Male,Divorced,No,Travel Rarely,Close,Research & Development,College,Life Sciences,Low,High,Lvl 1,Laboratory Technician,High,50,895,2207,22482,1,No,16,Excellent,Very High,80,Lvl 1,0-10 years,5 years,Good,0-10 years,2 years,2 years,2 years
794,30-39,Male,Single,No,Travel Frequently,Very Close,Research & Development,Below College,Life Sciences,Low,High,Lvl 2,Healthcare Representative,Very High,45,618,7756,22266,0,No,17,Excellent,High,80,Lvl 0,0-10 years,1 years,Good,0-10 years,2 years,0 year,4 years
795,30-39,Female,Divorced,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,Very High,Medium,Lvl 2,Sales Executive,Very High,88,309,6694,24223,2,Yes,14,Excellent,High,80,Lvl 3,0-10 years,5 years,Better,0-10 years,0 year,0 year,0 year
796,20-29,Male,Married,Yes,Travel Rarely,Very Close,Research & Development,Below College,Technical Degree,Very High,High,Lvl 1,Laboratory Technician,Very High,32,1219,3691,4605,1,Yes,15,Excellent,Medium,80,Lvl 1,0-10 years,3 years,Best,0-10 years,7 years,5 years,6 years
797,20-29,Male,Divorced,Yes,Travel Rarely,Far,Research & Development,Bachelor,Medical,Low,High,Lvl 1,Laboratory Technician,High,37,1330,2377,19373,1,No,20,Outstanding,High,80,Lvl 1,0-10 years,0 year,Good,0-10 years,1 years,0 year,0 year
798,30-39,Male,Single,Yes,Travel Rarely,Far,Research & Development,Bachelor,Medical,Low,Medium,Lvl 1,Research Scientist,Medium,55,1017,2313,2993,4,Yes,20,Outstanding,Medium,80,Lvl 0,0-10 years,0 year,Better,0-10 years,2 years,2 years,2 years
799,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Very High,High,Lvl 4,Manager,Low,35,469,17665,14399,0,No,17,Excellent,Very High,80,Lvl 1,21-29 years,3 years,Better,21-29 years,6 years,13 years,7 years
800,20-29,Male,Divorced,Yes,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,Low,Medium,Lvl 1,Laboratory Technician,Medium,45,1009,2596,7160,1,No,15,Excellent,Low,80,Lvl 2,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
801,50-59,Male,Single,Yes,Travel Frequently,Very Close,Sales,Master,Other,Very High,High,Lvl 2,Sales Executive,High,81,959,4728,17251,3,Yes,14,Excellent,Very High,80,Lvl 0,0-10 years,4 years,Better,0-10 years,0 year,0 year,0 year
802,30-39,Female,Married,No,Travel Frequently,Very Close,Sales,Bachelor,Life Sciences,Very High,High,Lvl 2,Sales Executive,Medium,30,970,4302,13401,0,No,17,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,0 year,2 years
803,30-39,Male,Married,No,Non Travel,Very Close,Research & Development,Master,Life Sciences,High,Medium,Lvl 1,Research Scientist,Very High,40,697,2979,22478,3,No,17,Excellent,Very High,80,Lvl 3,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
804,40-49,Male,Single,No,Non Travel,Very Close,Research & Development,Master,Medical,Low,Very High,Lvl 4,Manager,Very High,35,1262,16885,16154,2,No,22,Outstanding,High,80,Lvl 0,21-29 years,3 years,Good,0-10 years,4 years,2 years,1 years
805,40-49,Female,Married,No,Non Travel,Very Close,Sales,Master,Life Sciences,Medium,Medium,Lvl 2,Sales Executive,High,65,1050,5593,17970,1,No,13,Excellent,Very High,80,Lvl 1,11-20 years,2 years,Better,11-20 years,10 years,4 years,12 years
806,50-59,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Medium,High,Lvl 3,Healthcare Representative,Medium,87,994,10445,15322,7,No,19,Excellent,Very High,80,Lvl 0,11-20 years,4 years,Better,0-10 years,6 years,4 years,0 year
807,30-39,Male,Divorced,No,Travel Rarely,Very Close,Sales,Master,Marketing,High,Medium,Lvl 3,Sales Executive,High,73,770,8740,5569,0,Yes,14,Excellent,Medium,80,Lvl 2,0-10 years,2 years,Better,0-10 years,7 years,2 years,7 years
808,20-29,Female,Divorced,No,Travel Rarely,Far,Research & Development,Master,Life Sciences,High,High,Lvl 1,Research Scientist,Very High,93,1107,2514,26968,4,No,22,Outstanding,Low,80,Lvl 1,11-20 years,1 years,Better,0-10 years,5 years,1 years,7 years
809,20-29,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,High,Lvl 3,Manufacturing Director,Medium,93,950,7655,8039,0,No,17,Excellent,Medium,80,Lvl 3,11-20 years,3 years,Good,0-10 years,7 years,1 years,7 years
810,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Below College,Marketing,Low,High,Lvl 4,Manager,High,52,406,17465,15596,3,No,12,Excellent,Very High,80,Lvl 1,21-29 years,3 years,Better,11-20 years,9 years,4 years,9 years
811,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,College,Marketing,Very High,High,Lvl 3,Sales Executive,Medium,32,130,7351,20619,7,No,16,Excellent,High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,0 year,0 year,0 year
812,40-49,Female,Married,No,Travel Frequently,Far,Research & Development,Bachelor,Life Sciences,High,High,Lvl 3,Manufacturing Director,Low,83,1082,10820,11535,8,No,11,Excellent,High,80,Lvl 1,11-20 years,1 years,Better,0-10 years,7 years,0 year,1 years
813,30-39,Male,Divorced,Yes,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 4,Healthcare Representative,Very High,84,203,12169,13547,7,No,11,Excellent,Very High,80,Lvl 3,21-29 years,4 years,Better,11-20 years,7 years,11 years,5 years
814,40-49,Male,Single,No,Travel Rarely,Close,Research & Development,Bachelor,Medical,High,Medium,Lvl 5,Research Director,High,44,1308,19626,17544,1,No,14,Excellent,Low,80,Lvl 0,21-29 years,2 years,Best,21-29 years,7 years,4 years,9 years
815,20-29,Female,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Technical Degree,Very High,Medium,Lvl 1,Research Scientist,Medium,70,984,2070,25326,1,Yes,11,Excellent,High,80,Lvl 0,0-10 years,6 years,Best,0-10 years,2 years,2 years,2 years
816,30-39,Male,Single,No,Non Travel,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 2,Laboratory Technician,Medium,70,439,6782,8770,9,No,15,Excellent,High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,4 years,0 year,3 years
817,30-39,Male,Single,No,Non Travel,Close,Research & Development,Master,Life Sciences,Low,High,Lvl 2,Manufacturing Director,Very High,78,217,7779,23238,2,No,20,Outstanding,Low,80,Lvl 0,11-20 years,0 year,Better,11-20 years,9 years,0 year,9 years
818,30-39,Male,Married,No,Travel Frequently,Far,Sales,Bachelor,Life Sciences,High,Very High,Lvl 1,Sales Representative,Very High,67,793,2791,21981,0,No,12,Excellent,Low,80,Lvl 1,0-10 years,4 years,Better,0-10 years,2 years,2 years,2 years
819,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Low,Medium,Lvl 1,Research Scientist,Medium,67,1451,3201,19911,0,No,17,Excellent,Low,80,Lvl 0,0-10 years,2 years,Bad,0-10 years,3 years,0 year,4 years
820,30-39,Male,Divorced,No,Travel Frequently,Close,Sales,College,Marketing,Very High,High,Lvl 2,Sales Executive,Very High,54,1182,4968,18500,1,No,11,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,0 year,2 years
821,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Master,Technical Degree,Very High,Medium,Lvl 4,Sales Executive,Medium,56,174,13120,11879,6,No,17,Excellent,Medium,80,Lvl 1,21-29 years,3 years,Better,0-10 years,8 years,2 years,3 years
822,30-39,Male,Single,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 2,Manufacturing Director,High,95,1003,4033,15834,2,No,11,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,2 years,0 year,2 years
823,20-29,Female,Divorced,No,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 1,Research Scientist,Medium,61,490,3291,17940,0,No,14,Excellent,Very High,80,Lvl 2,0-10 years,2 years,Good,0-10 years,5 years,1 years,1 years
824,40-49,Male,Single,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,Medium,Low,Lvl 2,Laboratory Technician,Very High,56,188,4272,9558,4,No,19,Excellent,Low,80,Lvl 0,11-20 years,3 years,Better,0-10 years,0 year,0 year,0 year
825,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Medium,Medium,Lvl 2,Manufacturing Director,Very High,79,718,5056,17689,1,Yes,15,Excellent,High,80,Lvl 1,11-20 years,2 years,Good,11-20 years,7 years,1 years,2 years
826,30-39,Male,Married,No,Travel Rarely,Very Close,Human Resources,Bachelor,Human Resources,High,Very High,Lvl 1,Human Resources,High,37,433,2844,6004,1,No,13,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Best,0-10 years,6 years,5 years,0 year
827,20-29,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 1,Research Scientist,High,39,773,2703,22088,1,Yes,14,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,1 years,0 year,2 years
828,<20,Male,Single,Yes,Non Travel,Very Close,Research & Development,Below College,Medical,High,High,Lvl 1,Laboratory Technician,High,80,247,1904,13556,1,No,12,Excellent,Very High,80,Lvl 0,0-10 years,0 year,Better,0-10 years,0 year,0 year,0 year
829,30-39,Female,Single,Yes,Travel Rarely,Very Close,Sales,Master,Marketing,Low,High,Lvl 2,Sales Executive,Low,77,603,8224,18385,0,Yes,17,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,0 year,3 years
830,40-49,Male,Married,No,Travel Rarely,Close,Research & Development,Master,Life Sciences,Medium,High,Lvl 1,Laboratory Technician,Very High,46,167,4766,9051,3,Yes,11,Excellent,Low,80,Lvl 1,0-10 years,4 years,Better,0-10 years,0 year,0 year,0 year
831,30-39,Male,Married,Yes,Travel Frequently,Close,Research & Development,Bachelor,Medical,High,High,Lvl 1,Laboratory Technician,High,72,874,2610,6233,1,No,12,Excellent,High,80,Lvl 1,0-10 years,5 years,Good,0-10 years,2 years,2 years,2 years
832,30-39,Female,Divorced,No,Travel Rarely,Far,Research & Development,College,Medical,High,Medium,Lvl 2,Healthcare Representative,Very High,52,367,5731,17171,7,No,13,Excellent,High,80,Lvl 2,0-10 years,2 years,Better,0-10 years,2 years,1 years,3 years
833,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 1,Research Scientist,High,55,199,2539,7950,1,No,13,Excellent,High,80,Lvl 1,0-10 years,0 year,Better,0-10 years,2 years,2 years,2 years
834,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Below College,Life Sciences,Medium,High,Lvl 2,Sales Executive,High,70,1400,5714,5829,1,No,20,Outstanding,Low,80,Lvl 0,0-10 years,3 years,Good,0-10 years,5 years,1 years,3 years
835,30-39,Male,Single,No,Travel Rarely,Very Close,Human Resources,Master,Technical Degree,High,High,Lvl 1,Human Resources,High,100,528,4323,7108,1,No,17,Excellent,Medium,80,Lvl 0,0-10 years,2 years,Bad,0-10 years,4 years,1 years,4 years
836,20-29,Female,Married,Yes,Travel Rarely,Far,Sales,Below College,Life Sciences,Very High,Medium,Lvl 3,Sales Executive,Low,45,408,7336,11162,1,No,13,Excellent,Low,80,Lvl 1,11-20 years,3 years,Bad,11-20 years,8 years,3 years,10 years
